SourceID,Source,AttributionComposerID,Target
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,1,Anonymous
38,1501,5,La Rue
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,8,Desprez
38,1501,12,Ockeghem
38,1501,12,Ockeghem
38,1501,13,Obrecht
38,1501,13,Obrecht
38,1501,13,Obrecht
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,14,Agricola
38,1501,15,Brumel
38,1501,18,Orto
38,1501,18,Orto
38,1501,19,Weerbeke
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,20,Compère
38,1501,21,Ghizeghem
38,1501,21,Ghizeghem
38,1501,21,Ghizeghem
38,1501,25,Isaac
38,1501,25,Isaac
38,1501,25,Isaac
38,1501,25,Isaac
38,1501,34,Busnoys
38,1501,34,Busnoys
38,1501,34,Busnoys
38,1501,40,Ghiselin
38,1501,75,Japart
38,1501,75,Japart
38,1501,80,Stokem
38,1501,80,Stokem
38,1501,80,Stokem
38,1501,80,Stokem
38,1501,81,Tadinghen
38,1501,82,Vincenet
38,1501,83,Bordon
38,1501,85,Caron
38,1501,87,Tinctoris
149,1560,5,La Rue
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,8,Desprez
149,1560,10,Sermisy
149,1560,11,Verdelot
149,1560,11,Verdelot
149,1560,11,Verdelot
149,1560,28,Mouton
149,1560,28,Mouton
149,1560,28,Mouton
149,1560,28,Mouton
149,1560,28,Mouton
149,1560,28,Mouton
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,50,Willaert
149,1560,54,Moulu
149,1560,54,Moulu
149,1560,54,Moulu
149,1560,56,Richafort
149,1560,56,Richafort
149,1560,56,Richafort
149,1560,69,Lebrun
149,1560,103,Appenzeller
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,141,Crecquillon
149,1560,146,Clemens non Papa
149,1560,187,Maillard
149,1560,187,Maillard
149,1560,187,Maillard
149,1560,187,Maillard
149,1560,201,Gardano
149,1560,201,Gardano
149,1560,201,Gardano
149,1560,207,Phinot
149,1560,207,Phinot
149,1560,207,Phinot
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,208,Lassus
149,1560,214,Arcadelt
149,1560,214,Arcadelt
149,1560,214,Arcadelt
149,1560,214,Arcadelt
149,1560,214,Arcadelt
149,1560,214,Arcadelt
149,1560,276,Certon
149,1560,276,Certon
149,1560,276,Certon
149,1560,276,Certon
149,1560,276,Certon
149,1560,291,Godard
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,304,La Grotte
149,1560,305,Roussel
149,1560,305,Roussel
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,313,Leschenet
149,1560,314,Rousée
149,1560,314,Rousée
149,1560,315,Fourmentin
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,1,Anonymous
73,1502/1,8,Desprez
73,1502/1,8,Desprez
73,1502/1,8,Desprez
73,1502/1,8,Desprez
73,1502/1,14,Agricola
73,1502/1,15,Brumel
73,1502/1,15,Brumel
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,19,Weerbeke
73,1502/1,20,Compère
73,1502/1,20,Compère
73,1502/1,20,Compère
73,1502/1,20,Compère
73,1502/1,20,Compère
73,1502/1,40,Ghiselin
73,1502/1,40,Ghiselin
73,1502/1,40,Ghiselin
73,1502/1,47,Craen
73,1502/1,87,Tinctoris
73,1502/1,95,Pinarol
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,1,Anonymous
37,1502/2,5,La Rue
37,1502/2,5,La Rue
37,1502/2,5,La Rue
37,1502/2,8,Desprez
37,1502/2,8,Desprez
37,1502/2,8,Desprez
37,1502/2,13,Obrecht
37,1502/2,13,Obrecht
37,1502/2,13,Obrecht
37,1502/2,13,Obrecht
37,1502/2,14,Agricola
37,1502/2,15,Brumel
37,1502/2,15,Brumel
37,1502/2,15,Brumel
37,1502/2,15,Brumel
37,1502/2,18,Orto
37,1502/2,18,Orto
37,1502/2,20,Compère
37,1502/2,20,Compère
37,1502/2,20,Compère
37,1502/2,20,Compère
37,1502/2,20,Compère
37,1502/2,21,Ghizeghem
37,1502/2,34,Busnoys
37,1502/2,38,Petit
37,1502/2,40,Ghiselin
37,1502/2,74,Vaqueras
37,1502/2,75,Japart
37,1502/2,75,Japart
37,1502/2,76,Vinea
37,1502/2,77,Braconnier
37,1502/2,78,Bulkyn
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,1,Anonymous
74,1503/1,8,Desprez
74,1503/1,8,Desprez
74,1503/1,8,Desprez
74,1503/1,8,Desprez
74,1503/1,8,Desprez
74,1503/1,13,Obrecht
74,1503/1,14,Agricola
74,1503/1,15,Brumel
74,1503/1,18,Orto
74,1503/1,19,Weerbeke
74,1503/1,19,Weerbeke
74,1503/1,19,Weerbeke
74,1503/1,19,Weerbeke
74,1503/1,19,Weerbeke
74,1503/1,20,Compère
74,1503/1,35,Regis
74,1503/1,74,Vaqueras
74,1503/1,86,Martini
74,1503/1,91,Gregoire
74,1503/1,92,Stappen
74,1503/1,92,Stappen
74,1503/1,118,Franci?
74,1503/1,119,Biaumont
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
75,1504/1,1,Anonymous
